IdBox;IdChien;DateD̩but;DateFin
R101;802025753;;
R101;500069127;;
R102;743141270;;
R105;743185967;;
R105;604021670;;
R106;743185979;;
R106;604150223;;
R106;743565979;;
R107;712678707;;
R107;712339421;;
R107;712678597;;
R108;743185862;;
R108;600192550;;
R109;743185385;;
R109;731679311;;
R110;743185886;;
R110;743140960;;
R111;731559353;;
R112;743185870;;
R112;743185584;;
R112;743185925;;
R112;743186333;;
R113;743140974;;
R113;700256398;;
R114;201766694;;
R114;500751919;;
R114;810539115;;
R201;743185874;;
R201;743186067;;
R202;743186127;;
R203;100106783;;
R203;100107161;;
R204;100068026;;
R204;743185952;;
R204;743185918;;
R205;606191738;;
R205;606100377;;
R206;608177696;;
R206;743185920;;
R207;501507555;;
R207;811542404;;
R208;732642022;;
R209;16602813;;
R209;600230009;;
R210;501408688;;
R210;732539708;;
R211;743185953;;
R211;743186265;;
R212;743057463;;
R212;604321869;;
R213;743185950;;
R213;743185900;;
R214;743186061;;
R214;743186097;;
R301;732563697;;
R302;14752163;;
R304;743019910;;
R304;732642085;;
R305;608258509;;
R306;100068035;;
R307;743186111;;
R308;606205619;;
R309;731508984;;
R310;606201420;;
R311;743105688;;
R312;732340306;;
R313;600041407;;
R403;501387833;;
R405;606090147;;
R406;732192145;;
R407;500262918;;
R408;812084551;;
R410;731020202;;
R411;606558989;;
R412;732579116;;
R413;732578930;;
R414;811375114;;
R501;732448639;;
R502;732448688;;
R503;743141209;;
R504;802037260;;
R505;731452679;;
R506;501217962;;
R507;811381926;;
R508;606380724;;
R509;711025363;;
R510;732645334;;
R511;500048691;;
R512;732645184;;
R513;743104287;;
R514;731559255;;
R601;743019646;;
R602;732137576;;
R603;501631093;;
R604;732033195;;
R605;602218702;;
R606;501080512;;
R608;743105653;;
R608;743057283;;
R609;732192345;;
R610;732192089;;
R611;743105720;;
R612;712252412;;
R613;743141300;;
R614;500561547;;
R701;600112272;;
R701;743141181;;
R702;810673865;;
R703;732137799;;
R704;731701634;;
R705;732234302;;
R706;400009792;;
R707;500770405;;
R708;602842530;;
R709;732301158;;
R710;602824117;;
R711;606594777;;
R712;743186025;;
R713;604884959;;
R714;608298259;;
